feature,importance
abs_latitude,0.19308058117869736
dynqual_temperature_C,0.15419121438738395
gcc_t2m_p50,0.05896292913142955
log_dist_to_coast,0.054660444078485804
dist_to_coast_km,0.05187655389817451
gcc_t2m_p95,0.0377750327205548
dist_x_strahler,0.02935810716463728
gcc_ssl_p95,0.028453389312479028
azimuth,0.026874059667860127
length_km,0.026416667776633183
length,0.02610350394133673
log_upstream_area,0.025619117711316537
sinuosity,0.025279898168992208
upstream_area,0.024888805714315995
area_per_length,0.024320400940199334
gcc_lu_water,0.0179936984492922
gcc_pp1d_p50,0.015765343847983813
strahler_order,0.013078795954212612
gcc_tp_p95,0.012310237098760297
gcc_lu_mangr,0.011235257293411937
gcc_tp_p50,0.01064315583853492
gcc_mhhw,0.010063922378932959
gcc_tidal_range,0.009861311473503729
gcc_swh_p50,0.009308633125796292
gcc_mllw,0.009259972214071505
gcc_lu_trees,0.008934121824409851
gcc_swh_p95,0.008929717202647437
in_durr_estuary,0.008873963908507195
gcc_wl_rp10_mean,0.008434012346618282
gcc_he,0.007682899349892895
gcc_doc,0.006782760942035074
gcc_ev,0.005231739369710671
gcc_lu_built,0.004868591479252461
gcc_z_peak_max_1km_copdem,0.004175794378058262
gcc_lu_crop,0.003935628913454354
gcc_veg_type_Mangroves,0.0034472798418065695
gcc_bs_copdem,0.003446690617761751
gcc_tr_zone_width,0.003075493465276435
gcc_ns,0.003038792580153883
gcc_lu_wet,0.0029369842195359004
gcc_x_shoreline,0.0027218870770439134
gcc_cs_copdem,0.0022256465368673418
gcc_coast_type_flag_Sandy,0.0020067189272075714
gcc_veg_type_Salt-marshes,0.0008114532803659964
gcc_coast_type_flag_Vegetated,0.0004700895217620417
is_mainstem,0.00045684511040099737
gcc_coast_type_flag_Rocky,0.00013185564023431143
durr_type_encoded,0.0
gcc_coast_type_flag_Other,0.0
