feature,importance
abs_latitude,0.14237474790389923
dist_to_coast_km,0.10227085653830387
log_dist_to_coast,0.0962845222824762
dynqual_salinity_psu,0.04985776161105788
salinity_x_distance,0.04973762603182399
dynqual_tds_mgL,0.048154995873858075
log_dynqual_salinity,0.047030854682253605
dist_x_strahler,0.0436659751296398
discharge_x_distance,0.034469946405223294
log_dynqual_discharge,0.03233087074241177
dynqual_discharge_m3s,0.031648689163108534
gcc_ssl_p95,0.02944030520258734
gcc_t2m_p95,0.027481889223693545
gcc_t2m_p50,0.025418020267131292
azimuth,0.02374162901928697
upstream_area,0.019706186121866972
log_upstream_area,0.019542936421304277
sinuosity,0.018695164122170715
length_km,0.01798670278331363
length,0.017841701047643772
area_per_length,0.01722957029762977
gcc_lu_water,0.013968365500332501
strahler_order,0.012348268762730317
gcc_pp1d_p50,0.010626351733705894
gcc_wl_rp10_mean,0.006203160375296895
gcc_tidal_range,0.00525148135022863
gcc_lu_mangr,0.004560228885977146
gcc_mllw,0.004396957883646492
gcc_swh_p50,0.004270211407974667
gcc_lu_trees,0.004137851719126759
gcc_mhhw,0.004128400797996075
gcc_swh_p95,0.0037539655898976756
in_durr_estuary,0.0036625896778598468
gcc_he,0.002933195557385241
gcc_z_peak_max_1km_copdem,0.002804296006734607
gcc_tp_p50,0.002753294819702295
gcc_tp_p95,0.0026406586520893506
gcc_doc,0.002309556853384261
gcc_veg_type_Mangroves,0.0022731461176143187
gcc_lu_crop,0.001521138131187231
gcc_x_shoreline,0.0015169449049526134
gcc_ev,0.0014029922092560925
gcc_lu_built,0.0012244457060171894
gcc_coast_type_flag_Sandy,0.0011250610963756409
gcc_lu_wet,0.0010633136715484993
gcc_ns,0.0009498641075719673
gcc_tr_zone_width,0.0009343943657433257
gcc_cs_copdem,0.0008547528246694403
gcc_bs_copdem,0.0008273523516435246
is_mainstem,0.000276846182236208
gcc_veg_type_Salt-marshes,0.00019983902098233124
gcc_coast_type_flag_Vegetated,0.00015595332680325486
gcc_coast_type_flag_Rocky,1.4169538645187098e-05
dynqual_temperature_C,0.0
gcc_coast_type_flag_Other,0.0
durr_type_encoded,0.0
